TIC ID,CTOI,Promoted to TOI,Master priority,SG1A priority,SG1B priority,SG2 priority,SG3 priority,SG4 priority,SG5 priority,Initial Community Disposition,TFOPWG Disposition,TESS mag,TESS mag error,RA (deg),Dec (deg),PM RA (mas/yr),PM RA error,PM Dec (mas/yr),PM Dec error,Transit Epoch (BJD),Transit Epoch error,Period (days),Period error,Duration (hours),Duration error,Depth (mmag),Depth (mmag) error,Depth (ppm),Depth (ppm) error,Planet Radius (R_Earth),Planet Radius error,Stellar Distance (pc),Stellar Distance error,Stellar Teff (K),Stellar Teff error,Stellar log(g) (cm/s2),Stellar log(g) error,Stellar Radius (R_Sun),Stellar Radius error,Notes,Date Modified,User,Group,Tag
236761861,236761861.01,,,,,,,,,PC,,12.2506,0.007,272.868576,71.461774,6.721,0.042,1.789,0.054,2458684.033,,0.893,,1.318,,14.315,,13098,,15.79,,442.291,5.528,5426,125.834,4.21255,0.0856952,1.26363,0.0704774,Cycle 2 CVZ planet candidates added to short cadence from GI Program G022227; prelim vetting with DAVE,2020-04-01,kruse,,18582
236770234,236770234.01,,,,,,,,,PC,,9.95289,0.006,274.088698,68.614858,9.058,0.058,26.026,0.053,2458890.99,,,,14.4,,0.576,,530,,4.018,,254.391,1.882,6331,124.691,4.12877,0.0894736,1.5969,0.0719699,Found with our in-house single transit finder; transit finder output attached under 'Files',2020-11-02,steuer,,36606
236785891,236785891.01,5956.01,,,,,,,,PC,,15.762,0.009,283.317267,59.817657,11.367,0.141,42.333,0.15,2458842.957,0.003,0.929,0,1.187,0.075,50.515,30.142,45460,27380,11.45,3.45,303.767,5.9375,3207,157,4.74975,0.00989926,0.485926,0.0165041,"Qual:B,PMS?,2.2e+07yr. Rp=(0.72-1.59)Rj. b=0.00-0.91 (3-97HDI).",2022-02-19,bouma,tfopwg,108227
236815262,236815262.01,,,,,,,,,PC,,11.4513,0.014,283.743407,59.620608,-0.8,3.4,5.9,3.6,2459401.098,0.001,24.616,0.002,9.849,,35.084,0.504,31797.2,464.5,18.77,0.17,317.989,,6074,,,,,,newCTOI,2022-02-27,gsun,,108349
236817949,236817949.01,,,,,,,,,PC,,12.6265,0.007,283.784843,55.651282,2.333,0.075,0.405,0.081,2458711.769,,0.63,,1.459,,3.605,,3315,,8.93,,918.461,30.3225,7154,126.358,4.33758,0.0859341,1.42006,0.0725728,Cycle 2 CVZ planet candidates added to short cadence from GI Program G022227; prelim vetting with DAVE,2020-04-01,kruse,,18582
236903869,236903869.01,,,,,,,,,PC,,12.0361,0.007,304.09935,63.553098,4.616,0.042,19.478,0.042,2458708.79,0.002,3.146,0,0.09,0.004,3.172,,2917,,20.752,1.69,603.58,7.577,5914,125.874,3.91097,0.0810082,1.9066,0.0933921,"new CTOI, Montalto (2022)",2022-10-20,montalto,,421252
236975668,236975668.01,,,,,,,,,PC,,10.3485,0.006,304.969145,60.876942,-56.679,0.047,33.354,0.039,2458711.316,0.001,0.329,,0.081,0.005,0.375,,345,,1.519,0.24,91.9222,0.1787,4843,124.615,4.55229,0.0894883,0.779299,0.0528593,"new CTOI, Montalto (2022)",2022-10-20,montalto,,421231
237019002,237019002.01,,,,,,,,,PC,,12.1748,0.016,306.570479,60.668422,8.99,0.04,2.667,0.039,2458704.047,0.002,8.615,0,0.216,0.007,8.46,,7762,,13.167,1.108,563.391,6.2015,6467,156.247,4.2785,0.0875195,1.3806,0.0622311,"new CTOI, Montalto (2022)",2022-10-20,montalto,,421228
237048097,237048097.01,,,,,,,,,PC,,11.3939,0.006,306.623229,65.744145,5.776,0.043,5.95,0.043,2458668.12,0.006,52.233,0.002,0.288,0.028,1.762,,1622,,8.711,2.093,486.323,5.1425,6161,151.017,3.91503,0.084839,1.97773,0.0918066,"new CTOI, Montalto (2022)",2022-10-20,montalto,,421273
237097805,237097805.01,,,,,,,,,PC,,11.8637,0.006,240.005473,67.192778,17.065,0.04,-52.33,0.046,2458663.606,0.001,80.747,0,0.193,0.007,5.276,,4848,,14.592,1.437,296.772,2.3515,5487,127.163,4.43252,0.0823034,0.986074,0.0529045,"new CTOI, Montalto (2022)",2022-10-20,montalto,,421293
237098272,237098272.01,,,,,,,,,PC,,11.9536,0.008,239.871373,69.369923,-10.262,0.035,-3.945,0.041,2458709,,8.76,,,,2.282,,2100,,,,251.135,1.3755,5101,129.274,4.43466,0.0876467,0.928844,0.0583719,All data obtained using the lightkurve framework,2021-02-16,chiarello,,94424
237116860,237116860.01,,,,,,,,,PC,,12.7289,0.007,269.79729,56.769869,-5.874,0.033,7.453,0.032,2458683.522,,0.907,,1.9,,1.49,,1371,,6.17,,710.707,8.644,5651,127.596,4.07022,0.0786866,1.52729,0.0784221,Cycle 2 CVZ planet candidates added to short cadence from GI Program G022227; prelim vetting with DAVE,2020-04-01,kruse,,18582
237201858,237201858.01,2286.01,,,,,,,,PC,,9.85236,0.006,292.823315,72.538317,-15.379,0.04,12.25,0.043,2458811.51,0.01,0,0,10.9,1,1.086,0.217,1000,200,4.3,1,233.507,1.0275,6863,212.202,4.27882,0.0938819,1.4648,0.0625327,PHT candidate. Single transit event.,2020-05-22,eisner,,19240
237204346,237204346.01,6257.01,,,,,,,,PC,,10.6713,0.006,293.323467,76.921694,19.04,0.038,30.514,0.048,2458684.274,0.003,3.046,0,3.502,0.169,0.276,0.001,253.9,1.1,2.072,0.096,287.03,1.8885,6353,131.855,4.29887,0.08818,1.31864,0.0586433,Potential multi from 10 Y2 SPOC sectors,2022-01-29,spencer,,107624
237204346,237204346.02,,,,,,,,,PC,,10.6713,0.006,293.323467,76.921694,19.04,0.038,30.514,0.048,2458684.772,,6.545,0,4.353,0.226,0.426,0.023,391.9,21.4,2.596,0.222,287.03,1.8885,6353,131.855,4.29887,0.08818,1.31864,0.0586433,Potential multi from 10 Y2 SPOC sectors,2022-01-29,spencer,,107624
237205154,237205154.01,4437.01,,,,,,,,PC,,13.0024,0.007,293.583219,76.661086,-1.687,0.024,2.752,0.023,2458683.523,,5.893,,3.844,,12.799,,11719.1,,13.803,,686.482,5.6115,6182,122,4.3753,,1.16768,,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.,2021-02-08,olmschenk,,94022
