TIC,CTOI,TOI,Period (exofop),Period (TEV),TESS mag,In TEV?,Eph match?,Data on PDO?,Upload to TEV?,TEV Disposition,Alert? (Yes/no/unsure/hold),Notes,Public comment,User,Report Type
306667367,306667367.01,,10.049,10.049,12.3785,Y,N,,,FP(EB),N,"new CTOI, Montalto et al. (2020)",,montalto,qlp
309658221,309658221.01,,7.587,3.7975,9.8567,Y,N,,,FP(EB),N,Rp = 37 Re,,lipponen,
309658221,309658221.02,,7.59,3.7975,9.8567,Y,N,,,FP(EB),N,Rp = 37 Re,,lipponen,
325469795,325469795.01,,,17.4569,9.7293,Y,N,,,FP(EB),N,Rp = 211 Re,,lipponen,
325469795,325469795.02,,,17.4569,9.7293,Y,N,,,FP(EB),N,Rp = 211 Re,,lipponen,
341492896,341492896.01,,3.732,3.7331,11.8629,Y,N,,,FP(EB),N,"new CTOI, Montalto et al. (2020)",,montalto,qlp
350479101,350479101.01,,,54.0977; 11.9169; 57.2133; 54.9704,9.2823,Y,N,,,FP(EB),N,Rp = 54 Re,,lipponen,
364302118,364302118.01,,1.347,34.8206; 0.6727; 0.6728; 0.6727,10.3606,Y,N,,,FP(EB),N,Odd-even,,lipponen,
364302118,364302118.02,,1.349,34.8206; 0.6727; 0.6728; 0.6727,10.3606,Y,N,,,FP(EB),N,Odd-even,,lipponen,
369456296,369456296.01,,,11.4021,11.0756,Y,N,,,FP(EB),N,Single transit; Rp = 25 Re; investigate further,,lipponen,
370324073,370324073.01,,,7.8428; 6.5837,10.586,Y,N,,,FP(EB),N,Rp = 51 Re,,lipponen,
370324073,370324073.02,,,7.8428; 6.5837,10.586,Y,N,,,FP(EB),N,Rp = 51 Re,,lipponen,
389927567,389927567.01,,6.941,6.9418,13.1149,Y,N,,,FP(EB),N,"new CTOI likely member of Melotte 101  , PATHOS-24 in Nardiello et al. (2020)",too large; radius 73 earth radii,nardiello,qlp
394230860,394230860.01,,,10.9347,10.0877,Y,N,,,FP(EB),N,Rp = 147 Re,,lipponen,
394230860,394230860.02,,,10.9347,10.0877,Y,N,,,FP(EB),N,Rp = 147 Re,,lipponen,
404927661,404927661.01,,18.535,95.3949; 11.3702; 13.205; 88.3725,8.9338,Y,N,,,FP(EB),N,Rp = 72 Re,,lipponen,
404927661,404927661.02,,,95.3949; 11.3702; 13.205; 88.3725,8.9338,Y,N,,,FP(EB),N,Rp = 72 Re,,lipponen,
406276109,406276109.02,,7.556,7.5472; 7.5478,13.8137,Y,N,,,FP(EB),N,Secondary,,lipponen,
410126347,410126347.01,,1.413,1.4272,9.6856,Y,N,,,FP(EB),N,"new CTOI, Montalto et al. (2020)",,montalto,qlp
441056702,441056702.01,,6.342,nan,11.1028,Y,N,,,FP(EB),N,Single transit; scattered light; centroid offset; background flux spikes around epoch 1371,,christiansen,
441422527,441422527.01,,0.208,0.373; 0.3729,6.1732,Y,N,,,FP(EB),N,Rp = 65 Re,,lipponen,
11356662,11356662.01,,3.249,3.245846,10.0162,Y,Y,,,FP(EB),N,"new CTOI, Montalto et al. (2020)",,montalto,spoc
25078924,25078924.01,,0.91,0.904341,10.705,Y,Y,,,FP(EB),N,Primary/secondary,,lipponen,
25078924,25078924.02,,0.9,0.904341,10.705,Y,Y,,,FP(EB),N,Primary/secondary,,lipponen,
25226885,25226885.01,,1.631,1.632095,11.9329,Y,Y,,,FP(EB),N,Primary/secondary,,lipponen,
25226885,25226885.02,,1.63,1.632095,11.9329,Y,Y,,,FP(EB),N,Primary/secondary,,lipponen,
25354620,25354620.01,,5.023,5.026564,11.8068,Y,Y,,,FP(EB),N,"new CTOI, Montalto et al. (2020)",,montalto,spoc
29478974,29478974.01,,24.903,24.907366,10.619,Y,Y,,,FP(EB),N,Primary/secondary,,lipponen,
29478974,29478974.02,,12.458,12.453897,10.619,Y,Y,,,FP(EB),N,Primary/secondary,,lipponen,
29986808,29986808.01,,2.134,2.118708,10.4281,Y,Y,,,FP(EB),N,Primary/secondary,,lipponen,
29986808,29986808.02,,2.123,2.118708,10.4281,Y,Y,,,FP(EB),N,Primary/secondary,,lipponen,
12.84663084,30836645.01,,17.283,17.2833,10.3255,Y,Y,,,FP(EB),N,Found with our in-house single transit finder,,steuer,spoc
31869740,31869740.01,,4.429,4.427,12.0465,Y,Y,,,FP(EB),N,new CTOI; secondary,,gsun,spoc
