TIC,CTOI,Period (exofop),Period (TEV),Transit Epoch (BJD),Notes
159159904.0,159159904.01,0.0,,,No report on TEV
312812518.0,312812518.01,,,2458814.682,"new CTOI, Montalto (2022)"
14611330.0,14611330.01,,,2459220.143,Found with our in-house single transit finder
66323870.0,66323870.01,,,2458818.67,"Camera 2, CCD 4, Column 88, Row1265, Sector 19, possible binary system"
85377339.0,85377339.01,,,2458982.308,"new CTOI, Montalto (2022)"
416455230.0,416455230.01,,,2458808.404,"new CTOI, Montalto (2022)"
67651371.0,67651371.01,,,,No report on TEV; Found with our in-house single transit finder; transit finder output attached under 'Files'
64549889.0,64549889.01,,,2459251.688,Found with our in-house single transit finder
241249530.0,241249530.01,,,,
100103201.0,100103201.02,,,2458371.137,Corrected transit depth of 3218.53 (+/-614.29) ppm; within inner HZ but too big to be rocky
264766922.0,264766922.01,,,2458538.695,Planet Hunters TESS candidate. Single transit event.
202872110.0,202872110.01,,,2458790.522,"new CTOI, Montalto (2022)"
207078179.0,207078179.01,,,,WINE single transit
202712304.0,202712304.01,,,2458779.843,Found with our in-house single transit finder; transit finder output attached under 'Files'
234387858.0,234387858.01,,,2458492.047,"new CTOI, Montalto et al. (2020)"
384051626.0,384051626.01,,,2458676.281,"new CTOI, Montalto (2022)"
87304178.0,87304178.01,,,,
229747848.0,229747848.03,,,2458768.711,In the inner HZ if period is correct; only two transits have been detected so far
401503097.0,401503097.01,,,2458815.725,"new CTOI, Montalto (2022)"
336544379.0,336544379.01,,,2458738.114,"new CTOI, Montalto (2022)"
14739595.0,14739595.01,,,2458683.25,"new CTOI, Montalto (2022)"
48882295.0,48882295.01,,,,Found with our in-house single transit finder
32451836.0,32451836.01,,,2458392.66,"Camera 2, CCD 3, Column 2023, Row 1622, Sector 3"
5642884.0,5642884.01,,,2458788.541,"new CTOI, Montalto (2022)"
397483270.0,397483270.01,,,2459642.506,Found with our in-house single transit finder; Sector 49
282272435.0,282272435.01,,,2458467.805,"new CTOI, Montalto (2022)"
288405412.0,288405412.01,,,2458685.921,From 5 Cycle 2 SPOC sectors; low s2n
143996634.0,143996634.01,,,2458327.406,"new CTOI from NEMESIS, https://arxiv.org/abs/2103.05647"
153990815.0,153990815.01,,,2458683.214,"new CTOI, Montalto (2022)"
206361691.0,206361691.01,0.0,,,No report
333426440.0,333426440.01,,,2458470.385,DTARPS 373 in Melton+  arXiv:2302.06724
265135454.0,265135454.01,,,,Found with our in-house single transit finder
441813878.0,441813878.01,,,2458621.763,"new CTOI, Montalto (2022)"
460950389.0,460950389.01,,,2458572.224,"new CTOI likely member of IC 2602      , PATHOS-31 in Nardiello et al. (2020)"
256871385.0,256871385.01,2.902,,,No report
13866376.0,13866376.01,,,,
233267414.0,233267414.01,,,2459425.344,Found with our in-house single transit finder; Sector 41
212378056.0,212378056.01,,,,
67424670.0,67424670.01,,,2458790.941,"new CTOI likely member of NGC 752, PATHOS-50 in Nardiello et al. (2021)"
1961935435.0,1961935435.01,,,2458713.398,"new CTOI likely member of NGC 7024, PATHOS-81 in Nardiello et al. (2021)"
417734868.0,417734868.01,,,2458686.28,Cycle 2 CVZ planet candidates added to short cadence from GI Program G022227; prelim vetting with DAVE
326202607.0,326202607.01,,,2458710.984,"new CTOI, Montalto (2022)"
139474683.0,139474683.01,3.203,,,inflated hot Jupiter candidate orbiting evolved star
51125928.0,51125928.01,,,2458838.662,"new CTOI, Montalto (2022)"
31142436.0,31142436.01,5.271,5.2731,,"new CTOI, Montalto et al. (2020)"
233511804.0,233511804.01,,,2458984.191,"Qual:B,PMS?,1.8e+07yr,MissingRot?. Rp=(1.14-1.57)Rj. b=0.00-0.63 (3-97HDI)."
321914802.0,321914802.01,,,2458728.763,"new CTOI, Montalto (2022)"
259391116.0,259391116.01,,,2458409.416,"new CTOI, Montalto (2022)"
400351578.0,400351578.01,,,2458964.173,single transit event from the TSTPC working group
284680370.0,284680370.01,,,2458735.377,"new CTOI, Montalto (2022)"
47653432.0,47653432.01,,,2458601.674,DTARPS 060 in Melton+  arXiv:2302.06724
332954788.0,332954788.01,0.7,,,Corrected transit depth of 441.7 (+/-83.6) ppm; USP candidate
456302722.0,456302722.01,,,2459605.066,PHT single transit. Note: possible double star system.
37777274.0,37777274.01,,,2458438.265,"new CTOI, Montalto et al. (2020)"
16326602.0,16326602.01,,,2458507.249,Found with our in-house single transit finder
1718040493.0,1718040493.01,,,2458668.468,"new CTOI, Montalto (2022)"
370010846.0,370010846.01,3.485,,,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
405687343.0,405687343.01,0.532,,,Known EB (Slawson+2011)
422043783.0,422043783.01,,,2458653.135,"new CTOI, Montalto (2022)"
441122551.0,441122551.01,,,2458326.564,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
240802472.0,240802472.01,,,2458761.036,"new CTOI, Montalto (2022)"
270348758.0,270348758.01,,,2458327.433,DTARPS 291 in Melton+  arXiv:2302.06724
434307868.0,434307868.01,,,2459225.059,Found with our in-house single transit finder
336892053.0,336892053.01,,,,
67707363.0,67707363.01,,,2458925.063,"new CTOI, Montalto (2022)"
77137037.0,77137037.01,,,2458899.293,"new CTOI, Montalto (2022)"
332635898.0,332635898.01,,,2458518.705,DTARPS 371 in Melton+  arXiv:2302.06724
418343229.0,418343229.01,,,2458815.89,"new CTOI, Montalto (2022)"
458419988.0,458419988.01,,,,
431473352.0,431473352.01,,,2458738.317,"new CTOI, Montalto (2022)"
72757019.0,72757019.01,,,2458571.575,DTARPS 092 in Melton+  arXiv:2302.06724
188835620.0,188835620.01,,,2459712.395,Found with our in-house single transit finder; Sector 51
341411516.0,341411516.01,,,2458490.402,"new CTOI, Montalto et al. (2020)"
77287067.0,77287067.01,4.076,,,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
356240333.0,356240333.01,0.0,,,No report on TEV; Found with our in-house single transit finder; transit finder output attached under 'Files'
106235729.0,106235729.01,,,,
261646133.0,261646133.01,,,,Found with our in-house single transit finder; Sector 13
125192758.0,125192758.01,1.731,,,Exofop FP
184397998.0,184397998.01,,,2459095.196,WINE hot Jupiter
222078568.0,222078568.01,,,2458646.719,Found with our in-house single transit finder; Sector 12
307290645.0,307290645.01,,,2458387.535,DTARPS 347 in Melton+  arXiv:2302.06724
155008080.0,155008080.01,,,2458734.509,"new CTOI, Montalto (2022)"
179576115.0,179576115.01,,,2459037.27,A Search for Exoplanet Candidates in TESS short cadence Lightcurves with Bayesian Detection: Taaki et al. in prep 2022
439406850.0,439406850.01,,,,No report on TEV; Found with our in-house single transit finder; transit finder output attached under 'Files'
50270480.0,50270480.01,,,2458354.542,"new CTOI from NEMESIS, https://arxiv.org/abs/2103.05647"
13416465.0,13416465.01,,,,
101641905.0,101641905.01,0.0,,,No report on TEV
73007817.0,73007817.01,,,2459991.983,Planet candidates from the XESP working group. Details at: http://xjltp.china-vo.org/xesp.html
441546821.0,441546821.01,,,,
231682442.0,231682442.01,,,,
391925531.0,391925531.01,,,2459078.97,A Search for Exoplanet Candidates in TESS short cadence Lightcurves with Bayesian Detection: Taaki et al. in prep 2022
396935226.0,396935226.01,,,,Found with our in-house single transit finder; Sector 32
72669209.0,72669209.01,,,2458392.22,Found with our in-house single transit finder
149928173.0,149928173.01,,,2458675.877,"new CTOI, Montalto (2022)"
220129325.0,220129325.01,,,,
374268399.0,374268399.01,,,2459276.873,"newCTOI,Single transit event"
259376845.0,259376845.01,13.45,,,No report on TEV; new CTOI
192066140.0,192066140.01,,,2458842.215,"new CTOI, Montalto (2022)"
77524109.0,77524109.01,,,2458519.963,DTARPS 097 in Melton+  arXiv:2302.06724
