TIC,CTOI,Period (days),Transit Epoch (BJD),Notes
39291805,39291805.01,7.172,2458469.033,"new CTOI likely member of NGC 2112     , PATHOS-03 in Nardiello et al. (2020)"
39535451,39535451.01,1.918,2458466.631,"new CTOI, Montalto (2022)"
39828389,39828389.01,6.547,2458951.418,"new CTOI, Montalto (2022)"
41864106,41864106.01,0.218,2458354.296,"new CTOI, Montalto (2022)"
42524156,42524156.01,10.013,2458631.474,"new CTOI likely member of ASCC 88      , PATHOS-04 in Nardiello et al. (2020)"
42980456,42980456.01,1.445,2459771.201,Planet candidates from the XESP working group. Details at: http://xjltp.china-vo.org/xesp.html
43785616,43785616.01,17.91,2459175.208,Found with our in-house finder; Sector 32
43899566,43899566.01,5.946,2458436.658,"new CTOI, Montalto (2022)"
44669739,44669739.01,2.411,2458438.03,"new CTOI from NEMESIS, https://arxiv.org/abs/2103.05647"
45357107,45357107.01,2.177,2458542.091,"new CTOI, Montalto et al. (2020)"
47056448,47056448.01,0.345,2458518.727,DTARPS 059 in Melton+  arXiv:2302.06724
47142025,47142025.01,nan,2458526.312,Found with our in-house single transit finder
47519866,47519866.01,14.425,2458677.184,"new CTOI, Montalto (2022)"
47625466,47625466.01,8.26,2458683.57,"Possible two planets, as the light curve shows two different kind of depths"
47653432,47653432.01,4.199,2458601.674,DTARPS 060 in Melton+  arXiv:2302.06724
47757785,47757785.01,15.7,2458702.2,"New CTOI, multiple periodic dips in 4 different observation periods over a 1000 days in TESS observations"
47762924,47762924.01,2.705,2458682.699,"new CTOI, Montalto (2022)"
48139432,48139432.01,nan,2458733.446,single transit event from the TSTPC working group
48193137,48193137.01,0.776,2458682.805,"new CTOI, Montalto (2022)"
48622170,48622170.01,2.592,2458465.882,"new CTOI, Montalto (2022)"
48882295,48882295.01,nan,2459217.551,Found with our in-house single transit finder
50270480,50270480.01,1.651,2458354.542,"new CTOI from NEMESIS, https://arxiv.org/abs/2103.05647"
50361536,50361536.01,12.973,2458793.465,"new CTOI likely member of NGC 1027, PATHOS-47 in Nardiello et al. (2021)"
50528326,50528326.01,5.27,2458470.44,DTARPS 063 in Melton+  arXiv:2302.06724
50580647,50580647.01,4.91,2458496.51,All info obtained using the LightKurve framework
50943299,50943299.01,0.612,2458790.585,"new CTOI, Montalto (2022)"
51022999,51022999.01,7.734,2458794.506,"new CTOI likely member of NGC 1027, PATHOS-48 in Nardiello et al. (2021)"
51099561,51099561.01,nan,2458849.132,single transit event from the TSTPC working group
51125928,51125928.01,5.754,2458838.662,"new CTOI, Montalto (2022)"
51238317,51238317.01,14.261,2458850.663,Found with our in-house single transit finder; Sector 20
51861714,51861714.01,0.593,2458815.742,"new CTOI, Montalto (2022)"
51863626,51863626.01,0.593,2458815.728,"new CTOI, Montalto (2022)"
51947865,51947865.01,3.699,2459255.996,newCTOI
52120912,52120912.01,2.584,2458324.023,"new CTOI, Montalto (2022)"
52169698,52169698.01,0.622,2458467.913,"new CTOI, Montalto et al. (2020)"
52216463,52216463.01,2.294,2458543.829,DTARPS 064 in Melton+  arXiv:2302.06724
52369802,52369802.01,3.147,2458470.139,DTARPS 065 in Melton+  arXiv:2302.06724
52555068,52555068.01,2.625,2458470.762,DTARPS 067 in Melton+  arXiv:2302.06724
52639016,52639016.01,7.975,2458467.352,"new CTOI, Montalto (2022)"
52745699,52745699.01,3.166,2458470.621,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
52871678,52871678.01,2.319,2458466.933,"new CTOI, Montalto (2022)"
52913891,52913891.01,1.035,2458469.121,DTARPS 068 in Melton+  arXiv:2302.06724
53018991,53018991.01,1.809,2458814.833,"new CTOI, Montalto (2022)"
53247642,53247642.01,14.955,2458804.083,"new CTOI, Montalto (2022)"
53253755,53253755.01,1.829,2458814.992,"new CTOI, Montalto (2022)"
53309262,53309262.01,0.0,2458863.1,PHT candidate. Single Transit event.
53461742,53461742.01,4.412,2458470.723,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
53494434,53494434.01,1.438,2458468.453,DTARPS 070 in Melton+  arXiv:2302.06724
53682439,53682439.01,0.641,2458492.088,"Zari+18 pre-MS dwarf, w/ cand close-in giant planet (else EB). ~4% amplitude spot signal. (CDIPS; Bouma+19)"
53840258,53840258.01,0.644,2458325.595,manual ELEANOR search Tom Kaye
53843023,53843023.01,0.0,2458328.04,PHT candidate. Single transit event.
53952541,53952541.01,nan,2458346.31,Found with our in-house single transit finder
53993965,53993965.01,0.577,2458325.46,"new CTOI, Montalto et al. (2020)"
54064834,54064834.01,6.06,2458469.808,DTARPS 072 in Melton+  arXiv:2302.06724
55369125,55369125.01,0.678,2458523.996,DTARPS 073 in Melton+  arXiv:2302.06724
55441086,55441086.01,4.16,2458441.22,All data obtained using the lightkurve framework
55446876,55446876.01,5.59,2458846.71,All data obtained using the lightkurve framework
55454149,55454149.01,nan,2458539.839,Found with our in-house single transit finder
55682020,55682020.01,0.706,2458842.159,"new CTOI, Montalto (2022)"
55855877,55855877.01,3.095,2458383.082,"new CTOI, Montalto (2022)"
55999432,55999432.01,1.946,2458439.116,DTARPS 074 in Melton+  arXiv:2302.06724
56099207,56099207.01,nan,2459191.092,Found with our in-house single transit finder; Sector 32
