TIC,CTOI,TOI,Period (exofop),Period (TEV),TESS mag,In TEV?,Eph match?,Data on PDO?,Upload to TEV?,TEV Disposition,Alert? (Yes/no/unsure/hold),Notes,Public comment,User,Report Type
103751498,103751498.01,2579.01,3.715,,10.9101,N,N,,,-,-,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.,,olmschenk,
104195270,104195270.01,,3.686,,10.9988,N,N,,,-,-,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.,,olmschenk,
104986789,104986789.01,2578.01,3.458,,10.5863,N,N,,,-,-,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.,,olmschenk,
105379013,105379013.01,3857.01,3.295,,13.167,N,N,,,-,-,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.,,olmschenk,
105850602,105850602.01,,,,8.4743,N,N,,,-,-,No report,V/U shaped single transit,deen,
107340585,107340585.01,2832.01,2.689,,12.9674,N,N,,,-,-,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.,,olmschenk,
109929845,109929845.01,,4.763,,12.8887,N,N,,,-,-,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.,,olmschenk,
110996418,110996418.01,5171.01,0,,13.4003,N,N,,,-,-,No report,PHT candidate. Single transit event.,eisner,
111363968,111363968.01,,1.633,,11.3211,N,N,,,-,-,"No report on TEV; new CTOI, Montalto et al. (2020)",,grunblatt,
112316665,112316665.01,2577.01,3.748,,11.5955,N,N,,,-,-,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.,,olmschenk,
115171750,115171750.01,,0,,10.6999,N,N,,,-,-,No report,single transit,deen,
115453244,115453244.01,2576.01,3.823,,12.2323,N,N,,,-,-,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.,,olmschenk,
116756420,116756420.01,,1.63,,7.82745,N,N,,,-,-,All info obtained using the lightKurve framework,,chiarello,
117772549,117772549.01,,7.879,,8.855,N,N,,,-,-,"No report on TEV; new CTOI, Montalto et al. (2020)",V-shape and potential centroid shift.,deen,
118339710,118339710.01,,,,10.3541,N,N,,,-,-,WINE single transit,,brahm,
119685627,119685627.01,,5.032,,11.4573,N,N,,,-,-,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.,,olmschenk,
120232318,120232318.01,,3.62,,13.9684,N,N,,,-,-,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.,,olmschenk,
120232321,120232321.01,,3.62,,13.4556,N,N,,,-,-,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.,,olmschenk,
121636363,121636363.01,,0,,10.1968,N,N,,,-,-,Single transit event,,gsun,
121724183,121724183.01,,,,7.7201,N,N,,,-,-,Found with our in-house single transit finder,,steuer,
122441491,122441491.01,,3.801,,14.148,N,N,,,-,-,No report on TEV,Kepler confirmed planet KOI-188.01: Recovered in FFI data with TraSH-DUMP (new transit-search pipeline in prep),wilson,
122596693,122596693.01,,3.523,,14.6147,N,N,,,-,-,No report on TEV,Kepler confirmed planet KOI-830.01: Recovered in FFI data with TraSH-DUMP (new transit-search pipeline in prep),wilson,
123012736,123012736.01,,4.06,,10.8376,N,N,,,-,-,Possible two planets as per light curve,,chiarello,
123755508,123755508.01,,15.287,,12.5532,N,N,,,-,-,"No report on TEV; new CTOI likely member of Velorum association, PATHOS-38 in Nardiello (2020)",,nardiello,
124029677,124029677.01,,,,11.215,N,N,,,-,-,Found with our in-house single transit finder,,steuer,
125414447,125414447.01,,3.707,,14.2935,N,N,,,-,-,"No report on TEV; new CTOI likely member of NGC 2323     , PATHOS-09 in Nardiello et al. (2020)",,nardiello,
126098688,126098688.01,,5.914,,9.2081,N,N,,,-,-,No report,,damboiu,
126572546,126572546.01,2527.01,2.302,,11.1673,N,N,,,-,-,planet candidate around evolved hot star,,grunblatt,
126600730,126600730.01,,6.299,,15.4686,N,N,,,-,-,"No report on TEV; new CTOI likely member of Haffner 14   , PATHOS-10 in Nardiello et al. (2020)",,nardiello,
128703021,128703021.01,,0,,5.5859,N,N,,,-,-,Single transit; no report,,eisner,
134631912,134631912.01,,1.06,,10.3925,N,N,,,-,-,All info obtained using the Light Kurve framework,,chiarello,
135145585,135145585.01,,1.51,,11.5092,N,N,,,-,-,"No report on TEV; new CTOI, Montalto et al. (2020)",,montalto,
135367053,135367053.01,,2.758,,11.2768,N,N,,,-,-,"No report on TEV; new CTOI, Montalto et al. (2020)",,montalto,
137389526,137389526.01,,3.912,,10.7195,N,N,,,-,-,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.,,olmschenk,
