TIC,CTOI,Period (exfop),Notes
381856446.0,381856446.01,1.769,Preliminary Vetting with DAVE
382260153.0,382260153.01,5.7,new CTOI; centroid offset
382517745.0,382517745.01,10.436,nan
382517745.0,382517745.02,10.438,nan
388128308.0,388128308.01,1.194,nan
394585218.0,394585218.01,3.967,Primary/secondary
394585218.0,394585218.02,3.96,Primary/secondary
406276109.0,406276109.01,7.548,Eccentric EB
406681360.0,406681360.01,4.904,31 Re
407584737.0,407584737.01,5.656,Primary/secondary
407584737.0,407584737.02,5.653,Primary/secondary
419744996.0,419744996.01,7.002,Primary/secondary
419744996.0,419744996.02,7.02,Primary/secondary
438524691.0,438524691.01,8.88,newCTOI
439366537.0,439366537.01,4.314,"new CTOI, Montalto et al. (2020)"
441422220.0,441422220.01,3.7,Primary/secondary
441422220.0,441422220.02,3.7,Primary/secondary
