TIC,CTOI,TEV Disposition,Notes,CTOI Category,TIC ID,TFOPWG Disposition
341983711.0,341983711.01,FP(EB),Centroid offset centered on another star,Likely FP,,
344087362.0,344087362.01,FP(EB),"new CTOI, Montalto et al. (2020)",Likely FP,,
349154435.0,349154435.01,FP(EB),Primary/secondary,Likely FP,,
349154435.0,349154435.02,FP(EB),Primary/secondary,Likely FP,,
349518145.0,349518145.01,FP(EB),,Likely FP,,
350479101.0,350479101.02,FP(EB),EB; too large,Likely FP,,
350480660.0,350480660.01,FP(EB),Preliminary Vetting with DAVE,Likely FP,,
352915304.0,352915304.01,FP(EB),Centroid offset centered on another star,Likely FP,,
355601117.0,355601117.01,FP(EB),,Likely FP,,
355601117.0,355601117.02,FP(EB),,Likely FP,,
358457398.0,358457398.01,FP(EB),Primary/secondary,Likely FP,,
358457398.0,358457398.02,FP(EB),Primary/secondary,Likely FP,,
360205899.0,360205899.01,FP(EB),EB; primary/secondary,Likely FP,,
372913337.0,372913337.01,FP(EB),"new CTOI likely member of NGC 2516     , PATHOS-23 in Nardiello et al. (2020)",Likely FP,,
374732772.0,374732772.01,FP(EB),"new CTOI likely member of Lupus association  , PATHOS-42 in Nardiello (2020)",Likely FP,,
381854774.0,381854774.01,FP(EB),Odd-even; v-shaped; large,Likely FP,,
381856446.0,381856446.01,FP(EB),Preliminary Vetting with DAVE,Likely FP,,
382260153.0,382260153.01,FP(EB),new CTOI; centroid offset,Likely FP,,
382517745.0,382517745.01,FP(EB),,Likely FP,,
382517745.0,382517745.02,FP(EB),,Likely FP,,
388128308.0,388128308.01,FP(EB),,Likely FP,,
