TIC ID,CTOI,Transit Epoch (BJD),Period (days),Planet Radius (R_Earth),Duration (hours),Depth (mmag),CTOI Category
219854519,219854519.01,nan,31.03,7.0,12.0,1.956,Promoted to TOI
219879302,219879302.01,2458684.181,6.782,9.36,2.345,10.304,Promoted to TOI
220068921,220068921.01,2458465.885,3.365,11.65,0.141,7.835,Promoted to TOI
220076110,220076110.01,2458463.894,4.808,15.7,0.066,10.743,Promoted to TOI
224299081,224299081.01,2458727.174,21.059,4.5,4.3,1.052,Promoted to TOI
229138584,229138584.01,2458353.074,2.912,5.25,0.138,1.265,Promoted to TOI
229400092,229400092.01,2458684.811,4.142,13.17,2.203,11.876,Promoted to TOI
229490898,229490898.01,2458683.471,2.235,9.53,2.501,3.342,Promoted to TOI
229581160,229581160.01,2458685.895,3.415,13.82,2.723,13.697,Promoted to TOI
229586455,229586455.01,2458685.202,2.2,2.73,1.593,1.358,Promoted to TOI
229608594,229608594.01,2458960.032,nan,3.4,6.9,3.698,Promoted to TOI
229671380,229671380.01,2458683.487,3.939,14.829,5.828,4.347,Promoted to TOI
229715760,229715760.01,2458683.769,11.575,19.38,6.319,16.217,Promoted to TOI
229742722,229742722.01,2458726.137,126.968,9.9,2.667,5.442,Promoted to TOI
229750058,229750058.01,2458693.158,10.181,10.56,3.304,10.033,Promoted to TOI
229787062,229787062.01,2458683.484,1.901,4.28,1.328,1.716,Promoted to TOI
229791084,229791084.01,2458683.923,1.645,19.02,3.055,19.056,Promoted to TOI
230001847,230001847.01,nan,2.994,10.0,7.5,0.869,Promoted to TOI
230087585,230087585.01,2458687.079,8.825,12.14,3.381,5.521,Promoted to TOI
230127302,230127302.04,2458700.732,37.917,nan,3.5,nan,Promoted to TOI
230375747,230375747.01,2458685.57,2.764,18.2,4.533,14.833,Promoted to TOI
230387153,230387153.01,2458686.896,41.754,nan,5.167,nan,Promoted to TOI
230980206,230980206.01,2458357.499,3.376,13.896,3.61,11.903,Promoted to TOI
231071138,231071138.01,2458337.077,18.842,9.1,0.139,6.383,Promoted to TOI
231630147,231630147.01,2458318.393,7.064,18.39,0.151,12.767,Promoted to TOI
232641326,232641326.01,2458684.765,35.739,18.34,5.625,11.511,Promoted to TOI
232982938,232982938.01,2458690.731,9.094,8.83,5.243,2.91,Promoted to TOI
233047097,233047097.01,2458692.244,11.309,7.99,1.501,3.744,Promoted to TOI
233068569,233068569.01,2458686.88,8.379,5.94,3.732,3.844,Promoted to TOI
233078665,233078665.01,2458687.694,6.482,13.49,2.623,5.545,Promoted to TOI
233188747,233188747.01,2458683.605,3.451,13.898,3.19,16.033,Promoted to TOI
233497719,233497719.01,2458686.495,3.801,13.85,3.192,17.284,Promoted to TOI
233503636,233503636.01,2458685.826,3.406,6.73,1.324,1.485,Promoted to TOI
233823679,233823679.01,2458713.577,2.758,9.164,3.42,5.515,Promoted to TOI
234489133,234489133.01,2458491.724,3.6,15.557,4.794,10.546,Promoted to TOI
235078021,235078021.01,2458434.382,5.219,4.21,0.086,1.564,Promoted to TOI
235901733,235901733.01,2459413.813,nan,14.0,7.5,13.657,Promoted to TOI
235943205,235943205.01,2458827.03,0.0,4.0,6.0,5.442,Promoted to TOI
236785891,236785891.01,2458842.957,0.929,11.45,1.187,50.515,Promoted to TOI
